client,correct,entropy,uncertainty
Hospital_A (Brain-Tumor MRI),1,1.1765093,0.5716724
Hospital_A (Brain-Tumor MRI),1,1.0153193,0.3599555
Hospital_A (Brain-Tumor MRI),1,0.67170715,0.1837222
Hospital_A (Brain-Tumor MRI),1,0.63203305,0.16713679
Hospital_A (Brain-Tumor MRI),1,0.48564637,0.11609894
Hospital_A (Brain-Tumor MRI),1,0.69413906,0.19854754
Hospital_A (Brain-Tumor MRI),1,0.5812399,0.14839041
Hospital_B (Breast Ultrasound),1,0.33536345,0.085549355
Hospital_B (Breast Ultrasound),1,0.27891272,0.0634076
Hospital_B (Breast Ultrasound),1,0.27742705,0.06428617
Hospital_B (Breast Ultrasound),0,0.17305368,0.03432387
Hospital_B (Breast Ultrasound),1,0.3424705,0.08529264
Hospital_B (Breast Ultrasound),1,0.1878063,0.038271844
Hospital_B (Breast Ultrasound),0,0.2468969,0.05742836
Hospital_B (Breast Ultrasound),0,0.77826333,0.40925384
Hospital_B (Breast Ultrasound),0,0.81024855,0.4604556
Hospital_B (Breast Ultrasound),1,0.31835017,0.07801384
Hospital_B (Breast Ultrasound),1,0.341355,0.08683103
Hospital_B (Breast Ultrasound),1,0.44949955,0.11982155
Hospital_B (Breast Ultrasound),1,0.18760762,0.038617194
Hospital_B (Breast Ultrasound),1,0.34644186,0.08468944
Hospital_B (Breast Ultrasound),1,0.15963805,0.030996978
Hospital_B (Breast Ultrasound),1,0.46402717,0.12971938
Hospital_B (Breast Ultrasound),1,0.24585807,0.053684592
Hospital_B (Breast Ultrasound),1,0.32699797,0.07778019
Hospital_B (Breast Ultrasound),0,0.88510394,0.385289
Hospital_B (Breast Ultrasound),1,0.45891407,0.13228023
Hospital_B (Breast Ultrasound),1,0.29694694,0.07323563
Hospital_B (Breast Ultrasound),0,0.8073732,0.2981087
Hospital_B (Breast Ultrasound),1,0.19450606,0.03987211
Hospital_B (Breast Ultrasound),1,0.19848785,0.041191638
Hospital_B (Breast Ultrasound),1,0.28375316,0.064968765
Hospital_B (Breast Ultrasound),0,0.919477,0.46813035
Hospital_B (Breast Ultrasound),1,0.22710985,0.04834652
Hospital_B (Breast Ultrasound),1,0.16428687,0.0321247
Hospital_B (Breast Ultrasound),1,0.76271576,0.33864796
Hospital_B (Breast Ultrasound),1,0.746848,0.25892282
Hospital_B (Breast Ultrasound),1,0.80415577,0.45717788
Hospital_B (Breast Ultrasound),1,0.76868314,0.43375564
Hospital_B (Breast Ultrasound),1,0.33673036,0.081107914
Hospital_B (Breast Ultrasound),1,0.5038354,0.14827144
Hospital_B (Breast Ultrasound),1,0.68213594,0.23153478
Hospital_B (Breast Ultrasound),1,0.32293206,0.07671952
Hospital_B (Breast Ultrasound),0,0.23246911,0.049843848
Hospital_B (Breast Ultrasound),1,0.3343578,0.080055
Hospital_B (Breast Ultrasound),0,0.5963547,0.2197538
Hospital_B (Breast Ultrasound),0,1.0092747,0.50342035
Hospital_B (Breast Ultrasound),1,0.31274277,0.07399601
Hospital_B (Breast Ultrasound),1,0.29205352,0.06696838
Hospital_B (Breast Ultrasound),1,0.289734,0.06692964
Hospital_B (Breast Ultrasound),1,0.29288027,0.06766105
Hospital_B (Breast Ultrasound),0,0.25890633,0.060163796
Hospital_B (Breast Ultrasound),1,0.30414405,0.07080138
Hospital_B (Breast Ultrasound),1,0.25682223,0.0566532
Hospital_B (Breast Ultrasound),1,0.8750422,0.45778465
Hospital_B (Breast Ultrasound),1,0.2565449,0.056722403
Hospital_B (Breast Ultrasound),1,0.44800246,0.13136607
Hospital_B (Breast Ultrasound),1,0.75327563,0.37006295
Hospital_B (Breast Ultrasound),1,0.6978434,0.273763
Hospital_B (Breast Ultrasound),1,0.24051169,0.052161932
Hospital_B (Breast Ultrasound),1,0.3999349,0.10558593
Hospital_B (Breast Ultrasound),1,0.22255051,0.047603726
Hospital_B (Breast Ultrasound),1,0.4030636,0.10308659
Hospital_B (Breast Ultrasound),1,0.7457994,0.2558549
Hospital_B (Breast Ultrasound),1,0.21767253,0.0458799
Hospital_B (Breast Ultrasound),0,0.65957475,0.23645782
Hospital_B (Breast Ultrasound),1,0.50498575,0.15389574
Hospital_B (Breast Ultrasound),1,0.9684582,0.4320538
Hospital_B (Breast Ultrasound),1,1.0174625,0.5682108
Hospital_B (Breast Ultrasound),1,0.329224,0.078591704
Hospital_B (Breast Ultrasound),1,0.35202518,0.086196125
Hospital_B (Breast Ultrasound),1,0.748644,0.35817105
Hospital_B (Breast Ultrasound),1,0.37143052,0.092176676
Hospital_B (Breast Ultrasound),1,0.38240057,0.09667653
Hospital_B (Breast Ultrasound),1,0.63750714,0.2159856
Hospital_B (Breast Ultrasound),1,0.27807838,0.063619256
Hospital_B (Breast Ultrasound),0,0.9436728,0.395867
Hospital_B (Breast Ultrasound),1,0.23756668,0.051380813
Hospital_B (Breast Ultrasound),1,0.40615124,0.104733825
Hospital_B (Breast Ultrasound),1,0.5483773,0.16366833
Hospital_B (Breast Ultrasound),1,0.25255966,0.055411756
Hospital_B (Breast Ultrasound),1,0.3950125,0.104281425
Hospital_B (Breast Ultrasound),1,0.31485772,0.073940516
Hospital_B (Breast Ultrasound),1,0.32305396,0.076491475
Hospital_B (Breast Ultrasound),0,0.79809415,0.4909565
Hospital_B (Breast Ultrasound),1,0.63441634,0.22639674
Hospital_B (Breast Ultrasound),1,0.23369738,0.050160766
Hospital_B (Breast Ultrasound),1,0.19133714,0.039040565
Hospital_B (Breast Ultrasound),1,0.3841998,0.09649819
Hospital_B (Breast Ultrasound),1,0.32513428,0.07740247
Hospital_B (Breast Ultrasound),1,0.31142056,0.07284367
Hospital_B (Breast Ultrasound),1,0.8378161,0.5014839
Hospital_B (Breast Ultrasound),0,0.7056825,0.29469687
Hospital_B (Breast Ultrasound),1,0.31300923,0.07333869
Hospital_B (Breast Ultrasound),0,0.91913944,0.48501343
Hospital_B (Breast Ultrasound),1,0.55898964,0.16757089
Hospital_B (Breast Ultrasound),1,0.33542725,0.08350605
Hospital_B (Breast Ultrasound),1,0.29008925,0.06640792
Hospital_B (Breast Ultrasound),0,0.39561817,0.102179825
Hospital_B (Breast Ultrasound),1,0.24898955,0.054474413
Hospital_B (Breast Ultrasound),1,0.31730855,0.07577211
Hospital_B (Breast Ultrasound),1,0.32376248,0.07706183
Hospital_B (Breast Ultrasound),1,0.73144084,0.307795
Hospital_B (Breast Ultrasound),1,0.25279325,0.056783974
Hospital_B (Breast Ultrasound),0,0.7846019,0.3084337
Hospital_B (Breast Ultrasound),0,0.9166674,0.42939937
Hospital_B (Breast Ultrasound),1,0.44022518,0.11680251
Hospital_B (Breast Ultrasound),0,0.811576,0.40455526
Hospital_B (Breast Ultrasound),1,0.29073703,0.06664848
Hospital_B (Breast Ultrasound),1,0.25331768,0.055663764
Hospital_B (Breast Ultrasound),1,0.3176813,0.07479298
Hospital_B (Breast Ultrasound),1,0.28111145,0.06382936
Hospital_B (Breast Ultrasound),1,0.21847162,0.046266317
Hospital_B (Breast Ultrasound),1,0.24423783,0.05326563
Hospital_B (Breast Ultrasound),1,0.7131493,0.29065168
Hospital_B (Breast Ultrasound),1,0.59211,0.17848068
